id	project_name	processed_title	processed_description	processed_labels	priority_id	type_id	status_name	topic_id	top_terms
13347529	FLINK	clean useless code push calcprogram correlate	projectprogram streamphysicalcorrelatebase	['pull-request-available']	3	4	Closed	12	['file', 'null', 'error', 'python', 'use', 'table', 'add', 'support', 'java', 'need']
13335243	FLINK	add metaspace metric	want expose currently metaspace memory provide metric system	['pull-request-available']	3	7	Closed	25	['add', 'remove', 'support', 'need', 'introduce', 'case', 'blink', 'query', 'job', 'planner']
13238698	FLINK	improve expression base tableschema extraction datastream dataset	improve extraction tableschema datastream dataset currently split stage extract type ignore time attribute extract rowtime proctime position adjust index information happen single pass deal porting removing method streamtableenvimpl	['pull-request-available']	3	7	Closed	21	['type', 'class', 'file', 'time', 'doc', 'add', 'method', 'need', 'long', 'issue']
13369265	FLINK	resulttype generatedexpression stringcallgen compatible definition flinksqloperatortable	add follow test case tableenvironmentitcase reproduce bug code scala def mytest unit table null code exception stack code codegenexception mismatch function argument data type actual argument type string code return type inference substr flinksqloperatortable result type generatedexpression	['pull-request-available']	3	1	Closed	4	['return', 'python', 'support', 'type', 'use', 'example', 'exception', 'timeout', 'mode', 'case']
13267696	FLINK	join condition simplify logical phase	currently plan tpcds contain nestedloopjoin join condition distinct distinct distinct planner find equal join key condition simplifyjoinconditionrule solve	['pull-request-available']	3	7	Closed	37	['noformat', 'plan', 'task', 'update', 'source', 'error', 'cause', 'time', 'state', 'contain']
13076769	FLINK	elasticsearch release artifact publish maven central	release artifact elasticsearch connector publish maven central elasticsearch require java minimum release need build java	['flink-rel-1.3.1-blockers']	1	1	Resolved	12	['file', 'null', 'error', 'python', 'use', 'table', 'add', 'support', 'java', 'need']
13526876	FLINK	fail construct type	case problem cast expect return null array map fail example fail query code sql select array select map code noformat error execute sql statement reason numberformatexception input string invalid character find source noformat	['pull-request-available']	3	1	Resolved	0	['version', 'sql', 'create', 'dependency', 'new', 'kafka', 'thread', 'return', 'remove', 'checkpoint']
13216882	FLINK	create blink sql planner runtime module	mention create separate module perform blink sql merge issue create table planner blink table runtime blink module	['pull-request-available']	3	2	Closed	17	['blink', 'table', 'file', 'module', 'implementation', 'remove', 'add', 'release', 'runtime', 'planner']
13486345	FLINK	batchexecutionkeyedstatebackend incorrect executionconfig create serializer	freshly construct executionconfig instead configure user environment code java public getorcreatekeyedstate typeserializer namespaceserializer statedescriptor statedescriptor throw exception namespace serializer checknotnull keyserializer state key serializer configure config operation use partition state executionconfig code correct obtain	['pull-request-available']	4	1	Closed	15	['state', 'field', 'value', 'use', 'error', 'operator', 'int', 'type', 'sink', 'table']
13303954	FLINK	fail travis	code error failure error expect error expect error expect code	['test-stability']	1	1	Closed	33	['error', 'end', 'snapshot', 'sql', 'java', 'time', 'failure', 'connector', 'run', 'elapse']
13528615	FLINK	backport filterjoinrule miss opportunity push filter semijoin input flinkfilterjoinrule	optimization flink copy slightly change filterjoirule optimization come update idea apply change flinkfilterjoinrule	['pull-request-available']	3	4	Closed	28	['task', 'info', 'file', 'source', 'python', 'new', 'table', 'order', 'null', 'type']
13267622	FLINK	byteshashmap warn invoke stack want spill	byteshashmap warn invoke stack want spill lead lot message log need remove stack print warn	['pull-request-available']	3	4	Closed	24	['checkpoint', 'error', 'scala', 'table', 'file', 'job', 'info', 'remove', 'task', 'add']
13337361	FLINK	integrate filesystem hive connector changelog format debezium json	filesystem hive migrate interface possible integrate changelog format debezium json canal json source sink add test	['pull-request-available']	3	7	Closed	1	['error', 'result', 'create', 'exception', 'table', 'info', 'sql', 'java', 'query', 'connector']
13343489	FLINK	simplify type parameter execnode	currently take batchplanner streamplanner parameter execnode type parameter planner indicate node batch node stream node future plan contain batch node stream node type parameter remove implementation base class cast planner expect planner	['pull-request-available']	3	7	Closed	21	['type', 'class', 'file', 'time', 'doc', 'add', 'method', 'need', 'long', 'issue']
13269870	FLINK	relax structured type constraint	mention order allow type extraction structured type register catalog need relax structured type concept inline anonymous structured type identify object identifi catalog fully qualified implementation class order support case class immutable type relax constraint enforce default constructor alternative have constructor fully assign field parameter name type code generation implementation create instance default constructor relatively easy	['pull-request-available']	3	7	Closed	21	['type', 'class', 'file', 'time', 'doc', 'add', 'method', 'need', 'long', 'issue']
13214194	FLINK	miss configuration section doc	merge content option new doc generator note commit apache flink commit section introduction meaningful summary important setting alphabetical list option text actually contain information new description like particular advanced manage memory configuration note batch user	['pull-request-available']	3	1	Closed	21	['type', 'class', 'file', 'time', 'doc', 'add', 'method', 'need', 'long', 'issue']
13448986	FLINK	pyflink installation failure windows	pemja support window make installation fail window need fix asap	['pull-request-available']	2	1	Resolved	6	['state', 'table', 'python', 'run', 'support', 'task', 'sql', 'blink', 'issue', 'file']
13358139	FLINK	remove	long need construct new state call remove contain logic constructor	['pull-request-available']	3	7	Closed	25	['add', 'remove', 'support', 'need', 'introduce', 'case', 'blink', 'query', 'job', 'planner']
13310359	FLINK	init lookup join fail use udf lookup table	throw exception code cause scala matcherror character set class scala code sql code sql select join usertable hello jark code use function rexcall match rexinputref cause error myabe shoud add return skip	['pull-request-available']	3	1	Closed	38	['run', 'snapshot', 'fix', 'start', 'sql', 'apache', 'file', 'throw', 'error', 'java']
13275390	FLINK	jobmanager crash standalone model cancel job subtask status schedule	use start standalone cluster submit job streaming example topspeedwindowe parallelism wait minute cancel job jobmanager crash exception stack noformat error fatalexitexceptionhandler fatal thread flink produce uncaught exception stop process error fatalexitexceptionhandler fatal thread flink produce uncaught exception stop process completionexception completionexception illegalstateexception assign resource current execution attempt deltatrigger timeevictor comparableaggregator passthroughwindowfunction sink print std unassigned cancel method scala scala scala scala completionexception illegalstateexception assign resource current execution attempt deltatrigger timeevictor comparableaggregator passthroughwindowfunction sink print std unassigned cancel morecause illegalstateexception assign resource current execution attempt deltatrigger timeevictor comparableaggregator passthroughwindowfunction sink print std unassigned cancel info blobserver stop blob server noformat	['pull-request-available']	1	1	Resolved	32	['error', 'info', 'java', 'start', 'connector', 'example', 'null', 'time', 'end', 'job']
12731999	FLINK	material section project website	suggest add material section new project website update logo etc allow people material project flink addition think menu entry project source code unnecessary link github main page want rename github	['documentation', 'easyfix', 'starter']	4	4	Resolved	14	['null', 'order', 'table', 'remove', 'file', 'add', 'store', 'default', 'create', 'support']
13244486	FLINK	temporaltypestest randomly fail travis	temporaltypestest wrong result optimize expect detail	['test-stability']	2	1	Closed	35	['plan', 'cause', 'optimize', 'method', 'scala', 'time', 'java', 'job', 'execution', 'log']
13156154	FLINK	improve error message taskmanager fail	taskmanager fail frequently message code flinkexception release taskmanager code message misleading sound like intended operation failure container resourcemanager report jobmanager	['pull-request-available']	2	4	Closed	39	['apache', 'current', 'failure', 'new', 'kafka', 'checkpoint', 'java', 'case', 'add', 'state']
13375535	FLINK	defaultcompletedcheckpointstore drop unrecoverable checkpoint silently	try resilient recover checkpoint transient storage outage checkpoint corrupt behaviour introduce problem behaviour cause ignore late valid checkpoint transient problem restore process guarantee clearly violate exactly processing guarantee hard spot propose change behaviour fail read checkpoint suppose read recover method fail recovery kill process usually restart process retry checkpoint recover operation problem transient nature eventually succeed case problem occur initial job submission job directly transition failed state propose behaviour entail permanent problem checkpoint corrupted checkpoint flink able recover intervention user believe right decision flink long exactly guarantee situation user need explicitly resolve situation	['pull-request-available']	2	1	Resolved	5	['checkpoint', 'info', 'null', 'set', 'state', 'problem', 'result', 'task', 'job', 'create']
13593144	FLINK	use stringbuilder equivalentexprshuttle	currently equivalentexprshuttle map tostring node relnode fact need tostring calculate time usage stringbuilder hood face weird case consume memory	['pull-request-available']	3	1	Resolved	25	['add', 'remove', 'support', 'need', 'introduce', 'case', 'blink', 'query', 'job', 'planner']
