id	project_name	processed_title	processed_description	processed_labels	priority_id	type_id	status_name	topic_id	top_terms
13540263	HUDI	spark cdc delete record filegroup display fail	delete record filegroup cdc query fail assert	['pull-request-available']	3	1	Closed	12	['record', 'read', 'use', 'base', 'create', 'datum', 'query', 'time', 'set', 'currently']
13557235	HUDI	create config choose want read position base merge	right control separate read config	['pull-request-available']	1	2	Closed	12	['record', 'read', 'use', 'base', 'create', 'datum', 'query', 'time', 'set', 'currently']
13475674	HUDI	cloudwatch reporter create hudi spark bundle hudi aws bundle classpath	spark shell hudi hudi aws kryoserializer hoodiecatalog hoodiesparksessionextension nosuchmethoderror apache hudi com codahale metric apache hudi aws cloudwatch scala	['pull-request-available']	1	1	Closed	12	['record', 'read', 'use', 'base', 'create', 'datum', 'query', 'time', 'set', 'currently']
13438473	HUDI	enable default read path make hivesync fail	code java main info ittestbase container run command spark submit hivesynctool hoodie docker hoodie hadoop target hoodie hive sync default path hive warehouse file format parquet hive hive url jdbc main info ittestbase dockerjava jaxrs info ittestbase oncomplete call main info ittestbase exit code command main error ittestbase stdout main error ittestbase stderr warn nativecodeloader unable load native hadoop library platform builtin java class applicable exception thread main noclassdeffounderror org apache hadoop hbase util byte method method cause classnotfoundexception byte main info ittestbase code	['pull-request-available']	1	1	Closed	8	['metadata', 'path', 'commit', 'datum', 'run', 'add', 'base', 'create', 'enable', 'test']
13535693	HUDI	cdc payload field delete work	delete operation custom payload look release apache hudi find custom payload implementation like aws dms payload debezium payload properly migrate new api introduce cause delete operation fail test catch currently assume delete record mark custom cdc payload use field mark delete impact overwritewithlatest overwritenondefaultswithlatestavropayload affect custom payload awsdmsavropayload debezium payload delete break enforce delete issue custome payload cow delete non existant break way mor delete break way writer flink spark sql defaulthoodierecordpayload delete marker support affect	['pull-request-available']	1	1	Closed	12	['record', 'read', 'use', 'base', 'create', 'datum', 'query', 'time', 'set', 'currently']
13421651	HUDI	allow original partition column value retrieve timestampbasedkeygen	spark default omit partition value datum file instead encode partition path partitioned table timestampbasedkeygenerator original timestamp base column make impossible retrieve original value read spark persist data file code java import datasourcewriteoptions import hoodiewriteconfig import keygeneratoroption import multipartkeysvalueextractor val age mor timestampbasedkeygenerator yyyy yyyy savemode append hudi query datum hudi query datum hudi cow timestampbasedkeygenerator yyyy yyyy savemode append hudi query datum hudi work hudi code	['hudi-on-call', 'pull-request-available', 'sev:critical']	2	1	Open	9	['partition', 'log', 'metadata', 'time', 'read', 'commit', 'path', 'datum', 'issue', 'new']
13440523	HUDI	fix partition path construction metadata table validator	metadata table validator throw exception non partitioned table partition path construction code java hoodieexception unable hoodie metadata table validation ethan work script method cause illegalargumentexception create path string code	['pull-request-available']	1	3	Closed	8	['metadata', 'path', 'commit', 'datum', 'run', 'add', 'base', 'create', 'enable', 'test']
13575231	HUDI	read log block header schema instant time	tableschemaresolver read schema log file header current way instantiate log reader lazily read content cause block content read unnecessary cause oom spark driver cluster clustering rewrite file group contain log file require derive schema file group current logic code java public static messagetype path path throw ioexception try reader reader new null hoodiedatablock lastblock null hoodielogblock block block instanceof hoodiedatablock lastblock hoodiedatablock block return lastblock null new null code	['pull-request-available']	1	1	Closed	9	['partition', 'log', 'metadata', 'time', 'read', 'commit', 'path', 'datum', 'issue', 'new']
13306030	HUDI	partition columns miss file upserte metadata bootstrap	issue happen source datum partition hive style partitioning default behavior spark write datum partitioning partition column schema store file instead retrieve fly file path partition folder form metadata bootstrap store metadata column hudi table folder bootstrap schema computing directly read schema source datum file partition column schema complete manifest issue ultimately upsert bootstrappe file fully bootstrappe upsert time schema evolve upsert dataframe need partition column perform upsert ultimately upserted row correct partition column value store record simply copy metadata bootstrap file miss partition column observe different behavior bootstrappe non bootstrappe table moment create issue hive able determine partition column becuase metadata store create problem engine like spark partition column null upserted file read proposal fix following issue perform bootstrap figure partition schema store bootstrap schema commit metadata file provide follow benefit completeness perspective good behavioral change bootstrappe non bootstrappe table spark bootstrap relation incremental query relation need figure late schema simply accurate schema commit metadata file instead have determine partition column present schema obtain metadata file figure partition schema everytime merge expensive upsert file metadata bootstrappe partition column value correctly determine copy upserted file avoid missing null value consistent behavior non bootstrappe table hive handle consider engine like spark automatically handle significantly complicated able provide partition value read spark able determine everytime partition value null fill table fully bootstrappe point future bootstrap commit clean spark querying happen parquet datasource instead new bootstrappe datasource parquet datasource return null value find miss partition value case control parquet datasource simply read file	['pull-request-available']	1	1	Closed	9	['partition', 'log', 'metadata', 'time', 'read', 'commit', 'path', 'datum', 'issue', 'new']
13431528	HUDI	investigate read issue hudi spark bundle dataset	code java scala uuid partitionpath tablename warn deprecation detail enable set replay warn config dfspropertiesconfiguration find set dir warn config dfspropertiesconfiguration property file hudi conf hudi find ignore load prop file warn hudi hoodie table exist delete exist datum overwrite new datum warn metadata hoodiebackedtablemetadata metadata table find path metadata warn scheduler tasksetmanager lost task stage tid executor nosuchmethoderror lang error scheduler tasksetmanager task stage fail time abort job hoodieupsertexception fail upsert commit time elide code	['pull-request-available']	1	1	Closed	9	['partition', 'log', 'metadata', 'time', 'read', 'commit', 'path', 'datum', 'issue', 'new']
13422270	HUDI	unit test require hive service setup fail	happen test hudi utility module testhoodiedeltastreamer testhiveincrementalpuller error noclassdeffounderror org apache logging core appender core hudi utility test scope	['pull-request-available']	1	1	Closed	6	['test', 'metadata', 'partition', 'path', 'commit', 'cause', 'record', 'query', 'run', 'update']
13489167	HUDI	optimize deltasync	call source rdd twice deltasync try optimize reuse	['pull-request-available']	2	4	Patch Available	6	['test', 'metadata', 'partition', 'path', 'commit', 'cause', 'record', 'query', 'run', 'update']
13328900	HUDI	support metadata table spark datasource	expose spark datasource provide follow interface code java columnar interface filename available payload partition path decode fly list partition match key col stat col stat code	['pull-request-available']	1	3	Closed	5	['write', 'config', 'partition', 'support', 'add', 'path', 'need', 'use', 'record', 'metadata']
13556532	HUDI	support query sync partition metadata catalog	reduce load hms glue catalog register non partitioned table	['pull-request-available']	3	3	Closed	6	['test', 'metadata', 'partition', 'path', 'commit', 'cause', 'record', 'query', 'run', 'update']
13579013	HUDI	upgrade spark patch version include fix relate datum correctness	show data correctness issue spark upgrade spark upgrade issue affect	['pull-request-available']	3	4	Closed	1	['metadata', 'issue', 'case', 'partition', 'base', 'path', 'datum', 'read', 'use', 'create']
13547056	HUDI	fix partition validation consider commit metadata table validator	complete rollback datum table timeline interfere partition validation metadata table validator commit consider validation following example timeline mdt code java instant action state rollback info request inflight complete time time time action state request inflight complete time time time deltacommit complete deltacommit complete deltacommit inflight roll rollback inflight roll rollback complete deltacommit request deltacommit request rollback complete roll deltacommit complete rollback complete code partition metadata code java partition metadata sat aug utc code validator throw exception code java hoodievalidationexception compare partitions fail allpartitionpathsfromfs allpartitionpathsmeta method code	['pull-request-available']	1	1	Open	9	['partition', 'log', 'metadata', 'time', 'read', 'commit', 'path', 'datum', 'issue', 'new']
13383657	HUDI	fix extra commit metadata row writer path	regular path write client user pass extra commit metadata help commit key prefix config row writer path address	['pull-request-available']	3	1	Resolved	8	['metadata', 'path', 'commit', 'datum', 'run', 'add', 'base', 'create', 'enable', 'test']
13524718	HUDI	fail new commit inflight restore timeline	restore fail mid way user allow start new commit let add guard rail	['pull-request-available']	2	4	Closed	3	['new', 'record', 'read', 'partition', 'commit', 'base', 'metadata', 'type', 'add', 'use']
13550813	HUDI	fix internalschema schemaid column drop	case drop column spark sql schema incorrectly set max column instead commit timestamp	['pull-request-available']	3	3	Closed	1	['metadata', 'issue', 'case', 'partition', 'base', 'path', 'datum', 'read', 'use', 'create']
13448657	HUDI	add tooling delete non complete instant timeline	instant timeline old version hudi run issue fix apache hudi like provider user old version tool assist delete instant incase complete	['pull-request-available']	3	4	Closed	4	['commit', 'run', 'update', 'time', 'need', 'base', 'cause', 'partition', 'issue', 'write']
13590660	HUDI	use serializableconfiguration spark broadcast	place broadcast storageconf spark cause npe	['pull-request-available']	1	1	Closed	10	['cause', 'time', 'read', 'type', 'update', 'commit', 'log', 'use', 'config', 'support']
13441931	HUDI	sure hudi relations fetch strictly require column	able considerably optimize data throughput mor table xxx previously mor table read table row column simple query optimize fetch require column table type cow mor optimize cow table require column mor table require primary key pre combine key column actual merge update record delta log file perform avoid read col	['pull-request-available']	1	1	Closed	10	['cause', 'time', 'read', 'type', 'update', 'commit', 'log', 'use', 'config', 'support']
13543790	HUDI	hoodiemergehelper merge bootstrap file twice	merge helper use bootstrap file reader merge skeleton base file merge unnecessarily	['pull-request-available']	3	1	Closed	12	['record', 'read', 'use', 'base', 'create', 'datum', 'query', 'time', 'set', 'currently']
13510679	HUDI	clean partially fail restore	table attempt restore operation fail mid way restore lie attempt new instant time allot attempt scratch thwart compaction progression mdt need ensure give savepoint use restore instant	['pull-request-available']	1	1	Closed	10	['cause', 'time', 'read', 'type', 'update', 'commit', 'log', 'use', 'config', 'support']
13470202	HUDI	bulk insert url encode partition path properly	currently partition path slash hudi lay partition table incorrectly screen shot	['pull-request-available']	1	1	Closed	9	['partition', 'log', 'metadata', 'time', 'read', 'commit', 'path', 'datum', 'issue', 'new']
13507336	HUDI	multiple meta sync meta sync failure impact meta sync	example hms glue hms sync fail sync glue	['pull-request-available']	2	4	Closed	6	['test', 'metadata', 'partition', 'path', 'commit', 'cause', 'record', 'query', 'run', 'update']
13553989	HUDI	sparksql query perfermance cost hudi	version create table string string bigint day string comment 日期分区 hour int comment 小时分区 hudi options false false false tblpropertie primarykey type mor bucket partitioned insert select day hour insert select day hour insert select day hour select right stage task number table file cause driver oom fullgc long time	['pull-request-available']	3	1	Open	10	['cause', 'time', 'read', 'type', 'update', 'commit', 'log', 'use', 'config', 'support']
13520122	HUDI	fix kryo class registration spark	profile datum serialize hudi change considerably previously pass avro payload hold internal hoodierecord implementation class explicitly register kryo serialize class fully qualified fqn time object serialize carry lot unnecessary apache hudi work apache hudi add hoodiesparkkryoregistrar register commonly serialize hudi class rebase merging feature branch change partially revert need restore	['pull-request-available']	1	1	Closed	4	['commit', 'run', 'update', 'time', 'need', 'base', 'cause', 'partition', 'issue', 'write']
13481671	HUDI	fix tooling deprecated partition	hudi cli support fix deprecated partition assume stre datatype partitioning col fix assumption	['pull-request-available']	1	1	Closed	5	['write', 'config', 'partition', 'support', 'add', 'path', 'need', 'use', 'record', 'metadata']
13555928	HUDI	add support non partitioned dataset rli	need support rli non partitioned dataset initialization rli exist table new table	['pull-request-available']	3	4	Closed	5	['write', 'config', 'partition', 'support', 'add', 'path', 'need', 'use', 'record', 'metadata']
13480370	HUDI	fix scalatest respect config	recently address issue configuration properly respect hudi test xxx issue config pick scalatest test	['pull-request-available']	2	1	Closed	6	['test', 'metadata', 'partition', 'path', 'commit', 'cause', 'record', 'query', 'run', 'update']
13310250	HUDI	bulk insert convert rdd	bulk bulk insert operation infact dataset rdd conversion hoodiesparksqlwriter hoodieclient deal javardd try improve performance avoid rdd conversion start bulk insert end end work decide wanna operation perf analysis high level idea dataset pass way spark sql writer storage writer convert hoodierecord point time need use apache spark blob master sql core src main scala org apache spark sql execution datasource parquet write parquet internalrows gist wanna dataset sort partition path record key repartition parallelism config mappartition mappartition iterate rows encode internalrows write parquet write support link want check strategy actually improve perf quick hack mappartition func hoodiesparksqlwriter number look like check operation number get exist hoodie bulk insert rdd conversion javardd write directly parquet spark code give modify hoodie code operation record parallelism input size orig sec output size parquet sec output size modified hudi code direct parquet write sec output size essentially exist code bulk insert parquet modified hudi code operation close direct parquet write spark show strategy work parquet write spark key	['pull-request-available']	1	4	Closed	5	['write', 'config', 'partition', 'support', 'add', 'path', 'need', 'use', 'record', 'metadata']
13510330	HUDI	adjust coalesce behavior sort mode bulk insert	sort mode bulk insert coalesce input record row base shuffle parallelism bulk insert reduce parallelism affect write latency cluster worker fully utilize reduce parallelism	['pull-request-available']	1	4	Closed	0	['type', 'support', 'base', 'record', 'time', 'read', 'enable', 'new', 'use', 'log']
