id	project_name	assignee_id	processed_title	processed_description	processed_labels	priority_id	type_id	status_name
13038418	OAK	3114	test failure standalone	jenkins failure build apache jackrabbit oak matrix ubuntu slave ubuntu jdk jdk profile unitteste fail fail run apache jackrabbit oak matrix ubuntu slave ubuntu jdk jdk profile unitteste job ubuntu jdk profile console job ubuntu jdk profile console	['test-failure']	3	1	Closed
13017105	OAK	3114	support bundling node present version store	bundle logic work node structure present versionstore node store system jcr versionstorage node type frozennode node structure get version benefit bundle currently bundle logic look jcr primarytype jcr mixintypes determine type information support bundle node store version store look jcr frozenprimarytype jcr frozenmixintype property contain type information original node store got versione	['bundling']	3	4	Closed
13025009	OAK	3114	oakdirectory save dir listing change	note oakdirectory save directory list actual change happen directory change happen order entry set normal case luceneindexeditor avoid initialize indexwriter change happen node gets delete editor perform delete operation happen tree delete index editor determine easily lead oakdirectory close change lead save dir list change order entry	['performance']	4	4	Closed
13014980	OAK	3114	persistent cache cache path cover documentnodestatecache	possible use segmentnodestore secondary store like cache certain set path kind setup persistent cache cache nodestates cover documentnodestatecache	['secondary-nodestore']	3	4	Closed
13057878	OAK	3114	document metric relate class interface	metric relate class interface largely undocumented specifically immediately new stats instance add effect expose jmx	['documentation', 'technical_debt']	3	4	Open
12834183	OAK	3114	remove code relate directmemory heap cache	documentnodestore code relate heap make use apache directmemory feature persistentcache feature obsolete recently mention directmemory activity go project refer attic light remove feature oak	['technical_debt']	3	3	Closed
13014175	OAK	3114	enable configure queryenginesetting osgi config	oak queryengine expose setting option queryenginesetting currently configure system property jmx setting persistent way configure osgi simple option osgi component obtain reference queryenginesettingsmbean modify config activation	['docs-impacting']	4	4	Closed
12833421	OAK	3114	referenceeditor newid consume lot memory migration	large migration see referenceeditor newids consume lot memory record uuid property system million uuid index set consume memory look way maintain big memory state	['resilience']	4	4	Closed
12830964	OAK	3114	segmentblob return blobid contentidentity	segmentblob currently return recordid contentidentity external datastore configure give recordid stable well return blobid contentidentity external datastore configure	['resilience']	4	1	Closed
12922590	OAK	3114	sessionmbean getting register malformedobjectnameexception	change sessionmbean getting register contain objectname unfortunately exception throw gets lose got detect far noformat malformedobjectnameexception invalid character value noformat pass objectname code type sessionstatistics code	['regresion']	4	1	Closed
12844356	OAK	3114	cache recently extract text avoid duplicate extraction	happen text extract binary multiple time give indexing cycle happen reason multiple lucene index indexing node system multiple lucene index global lucene index index specific nodetype give indexing cycle file pick index definition extract text aggregation index time aggregation file pick multiple time aggregation rule avoid waste effort duplicate text extraction file give indexing cycle well expire cache hold extract text content time cache follow feature limit total size way expire content timed guava library wiki chance file getting pick high give indexing cycle well expire cache entry time avoid hog memory unnecessarily cache provide follow benefit avoid duplicate text extraction text extraction costly minimize critical path indexeditor avoid expensive specially binary content fetch remote blobstore	['performance']	3	4	Closed
12613758	OAK	3114	osgi relate dependency set provided scope mark optional	currently osgi relate dependency mark optional package mark optional correct dependency mark provide scope include transient dependency detail refer fix optional flag remove	['osgi']	4	1	Closed
13014649	OAK	3114	config option disable specific bundling config	oak ship default bundle config application want disable bundling case need support config option disable bundle specific nodetype proposal boolean property disabled bundle config specific nodetype indication bundle config	['bundling', 'docs-impacting']	4	4	Closed
13058163	OAK	3114	support path exclusion secondary nodestore	secondary nodestore feature currently support path inclusion useful support path exclusion user include content exclude index entry	['secondary-nodestore']	3	4	Open
12840750	OAK	3114	documentrootbuilder revisit default	decide commit persist branch default overridden system property typical pattern jcr persist batch node translate change packageimportit jcr property index commit hook	['performance']	1	4	Closed
13033612	OAK	3114	test failure address use	jenkins failure build apache jackrabbit oak matrix ubuntu slave ubuntu jdk jdk profile unitteste fail fail run apache jackrabbit oak matrix ubuntu slave ubuntu jdk jdk profile unitteste job ubuntu jdk profile console job ubuntu jdk profile console	['test-failure']	3	1	Closed
13108896	OAK	3114	implement support disable index replace new index	upgrade case application old index type set disabled new index provision new index async time reindex till query use old index end traverse repository avoid scenario mark old index disabled new index reindex	['docs-impacting']	3	2	Closed
12824211	OAK	3114	refactor optimize logic path include exclude avoid duplication	observationmanagerimpl optimize method process list include exclude remove redundant clause logic index filtering getting duplicate go forward need refactor logic place use copy possibly make pathutils suggest optimize optimise remove entry subsume include include	['technical_debt']	4	4	Closed
12862325	OAK	3114	boost field work expect	boost support add intention support usecase like quote fulltext search node fulltext content derive multiple field possible boost specific text contribute individual field mean title field boost description title fulltext field mean description fulltext field quote enable user perform search like root content geometrixx outdoor contain result page have keyword title come search result compare keyword find description current implementation set boost add field value fulltext field intention lucene use boost explain work like boost value get multiplie field boost work expect	['doc-impacting']	3	1	Closed
13099592	OAK	3114	provide list bundle node give documentnodestate	need know bundle nodestate give parent purpose provide follow method documentnodestate code public iterable getbundlednodesstate code	['bundling']	4	4	Closed
12729658	OAK	3114	add command dump lucene index oak console	add command oak run console dump lucene index provide stat relate lucene index	['console']	4	2	Closed
13035392	OAK	3114	test failure	jenkins failure build apache jackrabbit oak matrix ubuntu slave ubuntu jdk jdk profile integrationteste fail fail run apache jackrabbit oak matrix ubuntu slave ubuntu jdk jdk profile integrationteste job ubuntu jdk profile console job ubuntu jdk profile console	['test-failure', 'ubuntu']	3	1	Closed
12845482	OAK	3114	asyncindexer fail filenotfoundexception throw copyonwrite logic	time copyonwrite report follow exception noformat warn asyncindexupdate async index update fail commitfailedexception fail close lucene index cause filenotfoundexception common frame omit noformat	['resilience']	3	1	Closed
13013458	OAK	3114	review support wildcard bundle pattern	bundle pattern currently support wild card pattern make powerful time cause issue misconfigure review aspect release determine feature need expose	['bundling']	3	3	Open
