id	project_name	assignee_id	processed_title	processed_description	processed_labels	priority_id	type_id	status_name
13415814	HDDS	1699	resourcelimitcache leak permit	resourcelimitcache limit size group permit require free permit add datum removeif release permit	['pull-request-available']	2	1	Resolved
13543455	HDDS	1699	log information fail block allocation	include information log block allocation reject open pipeline request excludelist include scm audit log maybe potentially large size piece information important understand block allocation fail	['pull-request-available']	3	4	Resolved
13517234	HDDS	1699	simplify improve log message	output detail usable log message relate datanodes log statement currently build output list host etc lead duplication goal task replace tostring verbose gethostnameandip uuid implementation current occasional usage todebugstring need verify cause regression	['pull-request-available']	3	3	Resolved
13261237	HDDS	1699	avoid buffer copying grpcreplicationservice	grpcoutputstream write datum bytearrayoutputstream copy bytestring	['performance', 'pull-request-available']	3	4	Resolved
13316901	HDDS	1699	ratis config key mismatch	ratis configuration integration test apply mismatch config key apache incubator ratis blob master ratis client src main java org apache ratis client apache hadoop ozone hadoop ozone integration test src test java org apache hadoop ozone client rpc apache incubator ratis ratis server src main java org apache ratis server apache hadoop ozone hadoop hdd framework src main java org apache hadoop hdd conf	['pull-request-available']	3	1	Resolved
13437800	HDDS	1699	bump jackson databind	upgrade jackson databind late	['pull-request-available']	3	3	Resolved
13562953	HDDS	1699	clean test dependency	provide set basic test dependency module remove leftover dependency relate	['pull-request-available']	3	7	Resolved
13590128	HDDS	1699	log reconstruction command list miss index ascii control character	logs reconstruction command list miss index ascii control character like noformat info replicationmanager send command reconstructeccontainerscommand containerid replicationconfig source replicaindex replicaindex replicaindex target missingindexe container state closed pipelineid owner datanode deadline scm deadline change	['pull-request-available']	3	1	Resolved
13316718	HDDS	1699	avoid hddsprotos	pipelineid recently change integer base addition string log message include pipelineid span multiple line code title elek ozone build result acceptance docker ozone ozone freon command processor thread info commandhandler createpipelinecommandhandler create pipeline rati mostsigbit leastsigbit code	['pull-request-available']	3	1	Resolved
13291773	HDDS	1699	intermittent failure testreconwithozonemanag bindexception	testreconwithozonemanag fail bindexception code title apache hadoop ozone test run failure error skip time elapse failure testreconwithozonemanager testreconwithozonemanager time elapse error picocli error call command bindexception port use cause bindexception port use picocli code code title test output main info http basehttpserver http server ozonemanager listen main info http basehttpserver start web server recon main info recon reconserver start recon server main info http throw non bind ioexception bindexception port use code	['pull-request-available']	4	1	Resolved
13566481	HDDS	1699	refactor constructor scm avoid parameter	scmcontext create builder avoid parameter constructor change assign member directly builder object apply similar change class scm	['pull-request-available']	3	7	Resolved
13471167	HDDS	1699	update contribute guide	goal fix outdated item contributor guide minor improvement	['pull-request-available']	3	4	Resolved
13290498	HDDS	1699	unit check fail execute insight mini chaos test module	observe unit check run code title apache hadoop ozone true error fail execute goal project hadoop ozone insight resolve dependency project hadoop ozone insight beta find artifact hadoop ozone integration test jar beta help error fail execute goal project mini chaos test resolve dependency project mini chaos test beta failure find hadoop ozone integration test jar beta cache local repository resolution reattempte update interval elapse update force help code unit check skip integration test module depend	['pull-request-available']	3	1	Resolved
13538788	HDDS	1699	let reconfiguration handler update reconfigurable config object	implement reconfigurable config object create dedicated reconfiguration handler handle individual reconfigurable property far goal task allow register config object reconfiguration handler	['pull-request-available']	3	7	Resolved
13250198	HDDS	1699	stackoverflowerror ozoneclientinvocationhandler	happen log level set trace code fail tostring invocation object type reported exception stackoverflowerror source source code	['pull-request-available']	5	1	Resolved
13563740	HDDS	1699	migrate contract test	hadoop contract test implement hopefully change support upgrade ozone contract test implementation	['pull-request-available']	2	7	Resolved
13275694	HDDS	1699	read bytebuffer use wrong offset	use target buffer position offset temporary array code title apache hadoop ozone blob hadoop ozone ozonef src main java org apache hadoop ozone public int buf throw ioexception int bufinitpos int readlen byte readdata new int bytesread bufinitpos readlen code give buffer result following readlen bufinitpos inputstream read byte write readdata start offset result indexoutofboundsexception offset temporary array size exactly length read extra datum start	['pull-request-available']	3	1	Resolved
13577472	HDDS	1699	integration check long need ozone repo	change integration check run junit test module long need ozone present local maven repo	['pull-request-available']	3	7	Resolved
13550921	HDDS	1699	speed teststoragecontainermanagerha	code info test run failure error skip time elapse teststoragecontainermanagerha code	['pull-request-available']	3	7	Resolved
13288109	HDDS	1699	allow force overwrite local file	ozone key refuse overwrite exist local file like add flag default false allow override behavior easy repeatedly key force delete locally	['pull-request-available']	4	4	Resolved
