_id	projectname	assignee	summary	description	type_id	type_name	labels	priority_id	priority_name	status_id	status_name
12311770	AXIS	venkat	XPathAPI cannot find namespace nodes in Axis dom	"XPathAPI is unable to locate any namespace nodes in the DOM representing a SOAPEnvelope when used like this:

// message/connection stuff omitted
SOAPMessage reply = connection.call(msg, serviceEndpoint);

Element root = reply.getSOAPPart().getDocumentElement();

try {
	NodeList nodeList = XPathAPI.selectNodeList(root, ""//namespace::*"");
	System.out.println(""Found ""+nodeList.getLength()+"" namespace nodes."");
} catch (TransformerException e) {
	e.printStackTrace();
}


Serializing the SOAPPart using Xalan to do an identity transform results in:

<?xml version=""1.0"" encoding=""UTF-8""?>
<soap:Envelope xmlns:soap=""http://schemas.xmlsoap.org/soap/envelope/"">
<soapenv:Header xmlns:soapenv=""http://schemas.xmlsoap.org/soap/envelope/""/>
<soap:Body>
<SomeElement  xmlns=""http://my.namespace.uri/"">
.
.
.
</SomeElement>
</soap:Body>
</soap:Envelope>


"	1	Bug	dom-compatibility	3	Major	1	Open
12312352	AXIS	jayachandra	DOMException (NAMESPACE_ERR) if we run a XPath Query using Sun JDK1.5 on a SOAPPart DOM	"The following problems show up I use the XPath interpreter
shipped with Sun JDK 1.5 to locate nodes in a Axis created
SOAPPart DOM. 

1) After creating a message and adding a header, if I run a
   XPath query, one of two things happen depending on
   whether or not I call toString() on the envelope before
   the XPath query.

     a) If I call soapEnvelope.toString() before I run a
        XPath query on the DOM, I see a DOMException
        saying: ""NAMESPACE_ERR: An attempt is made to create
        or change an object in a way which is incorrect with
        regard to namespaces."" The stack trace is attached
        below.
     b) If I do not call soapEnvelope.toString() before I run a
        xapth query on the DOM, I see that the namespace
        prefixes have disappeared for actor and
        mustUnderstand attributes of the WS-Security header.

2) The method, getNamespaceURI, is not implemented in
   SOAPPart! Seems like too basic a method to not
   implement. See the stack trace below.

Thanks
prasad

Stack Trace for Bug 1a
======================
org.w3c.dom.DOMException: NAMESPACE_ERR: An attempt is made to create or change an object in a way which is incorrect with regard to namespaces.
	at org.apache.xerces.dom.CoreDocumentImpl.checkNamespaceWF(Unknown Source)
	at org.apache.xerces.dom.AttrNSImpl.setName(Unknown Source)
	at org.apache.xerces.dom.AttrNSImpl.<init>(Unknown Source)
	at org.apache.xerces.dom.CoreDocumentImpl.createAttributeNS(Unknown Source)
	at org.apache.axis.message.NodeImpl.convertAttrSAXtoDOM(NodeImpl.java:745)
	at org.apache.axis.message.NodeImpl.getAttributes(NodeImpl.java:323)
	at org.apache.axis.message.SOAPHeaderElement.getAttributes(SOAPHeaderElement.java:274)
	at com.sun.org.apache.xml.internal.dtm.ref.dom2dtm.DOM2DTM.nextNode(DOM2DTM.java:530)
	at com.sun.org.apache.xml.internal.dtm.ref.DTMDefaultBase._firstch(DTMDefaultBase.java:533)
	at com.sun.org.apache.xml.internal.dtm.ref.DTMDefaultBase.getFirstChild(DTMDefaultBase.java:973)
	at com.sun.org.apache.xml.internal.dtm.ref.DTMDefaultBaseTraversers$ChildTraverser.first(DTMDefaultBaseTraversers.java:411)
	at com.sun.org.apache.xpath.internal.axes.AxesWalker.getNextNode(AxesWalker.java:324)
	at com.sun.org.apache.xpath.internal.axes.AxesWalker.nextNode(AxesWalker.java:360)
	at com.sun.org.apache.xpath.internal.axes.WalkingIterator.nextNode(WalkingIterator.java:191)
	at com.sun.org.apache.xpath.internal.axes.NodeSequence.nextNode(NodeSequence.java:280)
	at com.sun.org.apache.xpath.internal.axes.NodeSequence.runTo(NodeSequence.java:434)
	at com.sun.org.apache.xml.internal.dtm.ref.DTMNodeList.<init>(DTMNodeList.java:79)
	at com.sun.org.apache.xpath.internal.objects.XNodeSet.nodelist(XNodeSet.java:338)
	at com.sun.org.apache.xpath.internal.jaxp.XPathExpressionImpl.getResultAsType(XPathExpressionImpl.java:351)
	at com.sun.org.apache.xpath.internal.jaxp.XPathExpressionImpl.eval(XPathExpressionImpl.java:98)
	at com.sun.org.apache.xpath.internal.jaxp.XPathExpressionImpl.evaluate(XPathExpressionImpl.java:178)
	at AxisDOMBug.bug1a(AxisDOMBug.java:81)
	at AxisDOMBug.main(AxisDOMBug.java:30)

Stack Trace for Bug 2
=====================
Exception in thread ""main"" org.w3c.dom.DOMException: 
	at org.apache.axis.message.SOAPDocumentImpl.getNamespaceURI(SOAPDocumentImpl.java:670)
	at org.apache.axis.SOAPPart.getNamespaceURI(SOAPPart.java:1255)
	at com.sun.org.apache.xml.internal.dtm.ref.dom2dtm.DOM2DTM.addNode(DOM2DTM.java:259)
	at com.sun.org.apache.xml.internal.dtm.ref.dom2dtm.DOM2DTM.<init>(DOM2DTM.java:128)
	at com.sun.org.apache.xml.internal.dtm.ref.DTMManagerDefault.getDTM(DTMManagerDefault.java:246)
	at com.sun.org.apache.xml.internal.dtm.ref.DTMManagerDefault.getDTMHandleFromNode(DTMManagerDefault.java:539)
	at com.sun.org.apache.xpath.internal.XPathContext.getDTMHandleFromNode(XPathContext.java:154)
	at com.sun.org.apache.xpath.internal.XPath.execute(XPath.java:234)
	at com.sun.org.apache.xpath.internal.jaxp.XPathExpressionImpl.eval(XPathExpressionImpl.java:123)
	at com.sun.org.apache.xpath.internal.jaxp.XPathExpressionImpl.eval(XPathExpressionImpl.java:97)
	at com.sun.org.apache.xpath.internal.jaxp.XPathExpressionImpl.evaluate(XPathExpressionImpl.java:178)
	at AxisDOMBug.bug2(AxisDOMBug.java:143)
	at AxisDOMBug.main(AxisDOMBug.java:32)
"	1	Bug	dom-compatibility	2	Critical	1	Open
12313704	DERBY	dagw	Support deferrable constraints	"In many situations it is desirable to have constraints checking taking place only at transaction commit time, and not before. If e.g. there is a chain of foreign key constraints between tables, insert statements have to be ordered to avoid constraint violations. If foreign key references are circular, the DML has to be split into insert statements and subsequent update statements by the user.

In other words, with deferred constraints checking, life is much easier for the user. Also it can create problems with softwares such as object-relational mapping tools that are not prepared for statement ordering and thus depend on deferred constraints checking.
"	4	Improvement	derby_triage10_11	3	Major	6	Closed
12313741	DERBY	knutanders	Support use of the WHEN clause in CREATE TRIGGER statements	"Support use of the WHEN clause in CREATE TRIGGER statements. The clause is described in the SQL standard (2003) in chapter ""11.39 <trigger definition>"" under ""<triggered action>"".

There are traces in the code that suggests some work has been done on this earlier. If anyone knows something about this, please add a comment to this issue."	4	Improvement	derby_triage10_11	4	Minor	6	Closed
12325258	DERBY	dagw	Get rid of the NodeFactory	"This piece of code once had a purpose in life. It was one of the double-joints which allowed cloudscape to ship with and without compiler support for the synchronization language. Synchronization has been removed. If we want to plug in optional language components, I think there are better ways to do this.

The NodeFactory turned into a big, sprawling piece of code. At some point this code was slimmed down by telescoping all of its factory methods into a couple unwieldly, weakly-typed overloads backed by cumbersome logic in the actual node constructors. I would like to reintroduce strongly typed node constructors which the parser can call directly. This will make node generation easier to read and less brittle and it will get rid of the now useless NodeFactory class."	4	Improvement	derby_triage10_11	3	Major	6	Closed
12325476	DERBY	bashitha	Incorrect line number in the error message when parser throws syntax error in some specific examples	"After connecting to a database through ij, parser returns correct line number for the sql ""select"" the first time around but it returns incorrect line number when the same sql is rexecuted, as shown below
$ java org.apache.derby.tools.ij
ij version 10.2
ij> connect 'jdbc:derby:c:/dellater/db1';
ij> select
;
ERROR 42X01: Syntax error: Encountered ""<EOF>"" at line 1, column 8.
ij> select
;
ERROR 42X01: Syntax error: Encountered ""<EOF>"" at line 2, column 8.
ij>

This is caused by UCode_CharStream's UpdateLineColumn method. When the sql ""select"" is executed the first time, the parser comes to UpdateLineColumn method for trailing \r and then for trailing \n for the first line ""select"". The trailing \n causes the prevCharIsLF to be set to true. Since this sql is incorrect by itself, parser will throw a syntax error. After the exception and before the processing of next sql ""select"", this prevCharIsLF flag does not get set to false(this is the problem). When the first character ""s"" is read, UpdateLineColumn checks if prevCharIsLF set to true and if yes, it increments(incorrectly) the line number to 2 and that is why the second time around, execution of ""select"" gives syntax error at line 2 rather than line 1.

This also causes problem with the optimizer hints when they are used in incorrect context as shown below. 
$ java org.apache.derby.tools.ij
ij version 10.2
ij> connect 'jdbc:derby:c:/dellater/db1';
ij> -- derby-properties
select * from t1;
ERROR 42X01: Syntax error: Encountered ""derby-properties"" at line 1, column 4.
ij> -- derby-properties
select * from t1;
ERROR 42X01: Syntax error: Encountered ""derby-properties"" at line 2, column 4."	1	Bug	derby_triage10_5_2	4	Minor	1	Open
12325675	XERCESJ	ishara	[GSoC]: Support for xml:id	"Hi,

The XInclude ID support should handle xml:id. This is useful for instance with DocBook or TEI that use Relax NG schemas for validation and also need XInclude support.
Here it is a patch that adds support for handling xml:id attributes as attributes of ID type.

Index: C:/george/workspace/xerces/src/org/apache/xerces/xpointer/ShortHandPointer.java
===================================================================
--- C:/george/workspace/xerces/src/org/apache/xerces/xpointer/ShortHandPointer.java	(revision 344362)
+++ C:/george/workspace/xerces/src/org/apache/xerces/xpointer/ShortHandPointer.java	(working copy)
@@ -162,6 +162,17 @@
             }
         }
         
+        if (normalizedValue == null && attributes != null) {
+        	// Try to see if we can get an xml:id
+        	for (int i = 0; i < attributes.getLength(); i++) {
+        		if (""xml"".equals(attributes.getPrefix(i)) && 
+        				""id"".equals(attributes.getLocalName(i))) {
+        			normalizedValue = attributes.getValue(i);
+        			break;
+        		}
+        	}        	
+        }
+        
         if (normalizedValue != null
                 && normalizedValue.equals(fShortHandPointer)) {
             return true;

Best Regards,
George
"	2	New Feature	gsoc2011	3	Major	1	Open
12326218	DERBY	lahiruwijewardana	Need implementation for `ON UPDATE CASCADE`	"Ifound no chance to implement such statement in derby

CREATE TABLE A (
    ax INTEGER NOT NULL,

    PRIMARY KEY(ax)
);

CREATE TABLE B (
    
    bx INTEGER NOT NULL,
    
    FOREIGN KEY (bx)     REFERENCES A (ax)
    ON UPDATE CASCADE -- can't make this work
    ON DELETE CASCADE
);

Seems `ON UPDATE CASCADE` does not implemented in derby yet.

P.S. I found this working in HSQL, M$SQL, PostgreSQL... but not in
debry :("	4	Improvement	derby_triage10_11	3	Major	1	Open
12326016	DERBY	espinha	Unable to create databases whose name containg Chinese characters through the client driver	"Trying to create a database with the following URL (note the Chinese character in the database name):

jdbc:derby://localhost:1527/\u4e10;create=true

throws the following exception:

-----%<-----
Exception in thread ""main"" org.apache.derby.client.am.SqlException: Unicode string can't convert to Ebcdic string
        at org.apache.derby.client.net.EbcdicCcsidManager.convertFromUCS2(Unknown Source)
        at org.apache.derby.client.net.Request.writeScalarPaddedString(Unknown Source)
        at org.apache.derby.client.net.NetConnectionRequest.buildRDBNAM(Unknown Source)
        at org.apache.derby.client.net.NetConnectionRequest.buildACCSEC(Unknown Source)
        at org.apache.derby.client.net.NetConnectionRequest.writeAccessSecurity(Unknown Source)
        at org.apache.derby.client.net.NetConnection.writeServerAttributesAndKeyExchange(Unknown Source)
        at org.apache.derby.client.net.NetConnection.flowServerAttributesAndKeyExchange(Unknown Source)
        at org.apache.derby.client.net.NetConnection.flowUSRIDONLconnect(Unknown Source)
        at org.apache.derby.client.net.NetConnection.flowConnect(Unknown Source)
        at org.apache.derby.client.net.NetConnection.<init>(Unknown Source)
        at org.apache.derby.jdbc.ClientDriver.connect(Unknown Source)
        at java.sql.DriverManager.getConnection(DriverManager.java:525)
        at java.sql.DriverManager.getConnection(DriverManager.java:193)
        at jdbctest.Main.main(Main.java:33)
-----%<-----

It's possible, however, to create databases using the embedded driver, using an URL like:

jdbc:derby:\u4e10;create=true

Tested with both 10.1.1.0 and 10.1.2.1 with the same result.

Complete code to reproduce the bug:

-----%<-----
public static void main(String[] args) throws Exception {
    Class.forName(""org.apache.derby.jdbc.ClientDriver"");
    Connection conn = DriverManager.getConnection(""jdbc:derby://localhost:1527/\u4e10;create=true"");
}
-----%<-----
"	1	Bug	gsoc, mentor	3	Major	6	Closed
12327171	DERBY	bryanpendleton	"Usability issue: ""Constraints have the  same  set of columns"""	"Legolas Woodland reported on derby-user that derby return errors like :
org.apache.derby.client.am.SqlException:                    Constraints
'SQL060103004635123'  and 'SQL060103004635121'  have the  same  set of
columns, which is not allowed.

He got this when creating a table like this:
create  table  WEBSITES (USERID  integer  not  null unique,  WEBSITEID
bigint  not  null unique,  DOMAINNAME  varchar(255)  not null  unique,
DESCRIPTION  varchar(255),  PPVIEW   double,  PPCLICK  double,  PPWEEK
double, totalClick bigint,  totalView bigint, active smallint, primary
key (WEBSITEID));

Omitting the unique specifier made things work. 

I think this is a usability issue.   At least, one should not present names to the user, that has been generated internally.  Instead, it would be helpful if the names of the columns involved was mentioned. I see two ways to solve this:

1. Return error that says that  duplicate contraints on the following columns are not allowed.
2. Allow this and use same index for both constraints.  (I guess dropping constraints will be more complicated in this case since one will have to check if other constraints are using the same index.)"	4	Improvement	derby_triage10_11	4	Minor	1	Open
