assignee	assignee_id
 thurman	1
!kol	2
*_dave_*	3
00ber	4
0x0l	5
0x26dres	6
1026688210	7
1365976815@qq.com	8
15026875534	9
15217812508@163.com	10
18779116352	11
1ambda	12
1u0	13
1wc	14
1xuepanchen1	15
2dsharp	16
309637554	17
397090770	18
3dragan	19
525_user	20
568793005@qq.com	21
6133d	22
6uest	23
873925389@qq.com	24
95th	25
JIRAUSER279802	26
JIRAUSER279823	27
JIRAUSER279853	28
JIRAUSER279886	29
JIRAUSER279895	30
JIRAUSER279940	31
JIRAUSER279947	32
JIRAUSER279988	33
JIRAUSER280001	34
JIRAUSER280015	35
JIRAUSER280016	36
JIRAUSER280039	37
JIRAUSER280041	38
JIRAUSER280097	39
JIRAUSER280100	40
JIRAUSER280129	41
JIRAUSER280211	42
JIRAUSER280246	43
JIRAUSER280251	44
JIRAUSER280257	45
JIRAUSER280260	46
JIRAUSER280261	47
JIRAUSER280315	48
JIRAUSER280317	49
JIRAUSER280323	50
JIRAUSER280331	51
JIRAUSER280355	52
JIRAUSER280367	53
JIRAUSER280387	54
JIRAUSER280391	55
JIRAUSER280418	56
JIRAUSER280436	57
JIRAUSER280449	58
JIRAUSER280478	59
JIRAUSER280488	60
JIRAUSER280501	61
JIRAUSER280600	62
JIRAUSER280602	63
JIRAUSER280609	64
JIRAUSER280632	65
JIRAUSER280634	66
JIRAUSER280640	67
JIRAUSER280683	68
JIRAUSER280684	69
JIRAUSER280694	70
JIRAUSER280718	71
JIRAUSER280781	72
JIRAUSER280797	73
JIRAUSER280853	74
JIRAUSER280855	75
JIRAUSER280917	76
JIRAUSER280940	77
JIRAUSER280949	78
JIRAUSER281041	79
JIRAUSER281042	80
JIRAUSER281047	81
JIRAUSER281067	82
JIRAUSER281089	83
JIRAUSER281124	84
JIRAUSER281126	85
JIRAUSER281130	86
JIRAUSER281135	87
JIRAUSER281159	88
JIRAUSER281195	89
JIRAUSER281248	90
JIRAUSER281256	91
JIRAUSER281275	92
JIRAUSER281282	93
JIRAUSER281295	94
JIRAUSER281311	95
JIRAUSER281312	96
JIRAUSER281322	97
JIRAUSER281330	98
JIRAUSER281357	99
JIRAUSER281449	100
